"<!-- Include menu page --> 				 				 						 <!-- logo, commented out for menu's sake. is this a nested table???.. ;) 	 --> <!-- same info as Database Monitor - comment it out 	 	 		 			 species 		 - venomous 		 - non venomous 		 - unknown 	 	 						 --> 	 	snakeDB 	Search 	LD50 	Taxonomy 	Systematik 	DBmonitor 	Imprint 	 <!-- google_ad_client = ""ca-pub-7838177538080172""; /* 160x600 snakeDB */ google_ad_slot = ""1583047148""; google_ad_width = 160; google_ad_height = 600; //--> <!-- -->","<!-- logo, commented out for menu's sake. is this a nested table???.. ;) 	 --> <!-- same info as Database Monitor - comment it out 	 	 		 			 species 		 - venomous 		 - non venomous 		 - unknown 	 	 						 --> 	 	snakeDB 	Search 	LD50 	Taxonomy 	Systematik 	DBmonitor 	Imprint 	 <!-- google_ad_client = ""ca-pub-7838177538080172""; /* 160x600 snakeDB */ google_ad_slot = ""1583047148""; google_ad_width = 160; google_ad_height = 600; //--> <!-- -->","<!-- logo, commented out for menu's sake. is this a nested table???.. ;) 	 --> <!-- same info as Database Monitor - comment it out 	 	 		 			 species 		 - venomous 		 - non venomous 		 - unknown 	 	 						 --> 	 	snakeDB 	Search 	LD50 	Taxonomy 	Systematik 	DBmonitor 	Imprint",snakeDB,Search,LD50,Taxonomy,Systematik,DBmonitor,Imprint,"<!-- google_ad_client = ""ca-pub-7838177538080172""; /* 160x600 snakeDB */ google_ad_slot = ""1583047148""; google_ad_width = 160; google_ad_height = 600; //--> <!-- -->"
7.,254,"Crotalus oreganus 							
Northern Pacific rattlesnake",☠☠☠☠,162.0 cm							ref,502.6 gr							ref,,,0.045 mg/kg														ref,,3.56 mg/kg														ref
8.,245,"Crotalus durissus 							
South American rattlesnake",☠☠☠☠,200.0 cm							ref,2440.5 gr							ref,,100 mg								ref,0.047 mg/kg														ref,"106,383 🐭",0.0478 mg/kg														ref
9.,265,"Crotalus tigris 							
Tiger rattlesnake",☠☠☠,88.5 cm							ref,454.0 gr							ref,,11 mg								ref,0.056 mg/kg														ref,"9,821 🐭",0.21 mg/kg														ref
10.,1373,"Atractaspis bibronii 							
Bibron's burrowing asp",☠☠☠,70.0 cm							ref,34.3 gr							ref,,1.4 mg								ref,0.06 mg/kg														ref,"1,167 🐭",
11.,1385,"Atractaspis microlepidota 							
Small scaled burrowing asp",☠☠☠,110.0 cm							ref,93.5 gr							ref,,10 mg								ref,0.06 mg/kg														ref,"8,333 🐭",
12.,1379,"Atractaspis engaddensis 							
Palestinian Mole Viper",☠☠☠,100.0 cm							ref,57.5 gr							ref,4 														 mm							ref,9.6 mg								ref,0.06 mg/kg														ref,"8,000 🐭",
13.,1816,"Dispholidus typus 							
Boomslang",☠☠☠☠,200.0 cm							ref,510.0 gr							ref,5.20 														 mm							ref,8 mg								ref,0.067 mg/kg														ref,"5,970 🐭",12.5 mg/kg														ref
14.,526,"Bungarus multicinctus 							
Many banded krait",☠☠☠☠,180.0 cm							ref,295.1 gr							ref,,18.4 mg								ref,0.071 mg/kg														ref,"12,958 🐭",0.16 mg/kg														ref
15.,753,"Naja siamensis 							
Indochinese spitting cobra",☠☠☠☠,160.0 cm							ref,,4.70 														 mm							ref,738 mg								ref,0.075 mg/kg														ref,"492,000 🐭",
16.,1646,"Boiga irregularis 							
Brown tree snake",☠☠☠,310.0 cm							ref,1510.0 gr							ref,,25 mg								ref,0.08 mg/kg														ref,"15,625 🐭",
17.,765,"Hydrophis platurus 							
Yellowbelly sea snake",☠☠☠☠,133.0 cm							ref,,1.50 														 mm							ref,4.4 mg								ref,0.09 mg/kg														ref,"2,444 🐭",0.055 mg/kg														ref
18.,739,"Naja melanoleuca 							
Forest cobra",☠☠☠☠,320.0 cm							ref,,3.50 														 mm							ref,1102 mg								ref,0.093 mg/kg														ref,"592,473 🐭",0.225 mg/kg														ref
19.,552,"Hydrophis stricticollis 							
Bengal Sea Snake",☠☠☠☠,125.0 cm							ref,,,,0.108 mg/kg														ref,,0.164 mg/kg														ref
20.,401,"Bitis atropos 							
Cape mountain adder",☠☠☠,60.0 cm							ref,,,,0.111 mg/kg														ref,,
21.,736,"Naja kaouthia 							
Monocled cobra",☠☠☠☠,230.0 cm							ref,,6.78 														 mm							ref,742 mg								ref,0.115 mg/kg														ref,"322,609 🐭",0.24 mg/kg														ref
22.,429,"Echis carinatus 							
Saw scaled viper",☠☠☠☠,90.0 cm							ref,92.8 gr							ref,,72 mg								ref,0.12 mg/kg														ref,"30,000 🐭",5.5 mg/kg														ref
23.,641,"Hydrophis elegans 							
Elegant sea snake",☠☠☠☠,250.0 cm							ref,2450.0 gr							ref,3.90 														 mm							ref,24 mg								ref,0.12 mg/kg														ref,"10,000 🐭",0.262 mg/kg														ref
24.,3279,"Rhabdophis subminiatus 							
Red necked keelback",☠☠☠,130.0 cm							ref,,,,0.125 mg/kg														ref,,
25.,453,"Pseudocerastes fieldi 							
Field's horned viper",☠☠☠☠,116.0 cm							ref,185.2 gr							ref,,100 mg								ref,0.125 mg/kg														ref,"40,000 🐭",
26.,758,"Ophiophagus hannah 							
King cobra",☠☠☠☠,585.0 cm							ref,12700.0 gr							ref,15 														 mm							ref,500 mg								ref,0.125 mg/kg														ref,"200,000 🐭",1.091 mg/kg														ref
27.,742,"Naja naja 							
Spectacled cobra",☠☠☠☠,220.0 cm							ref,1497.5 gr							ref,7.33 														 mm							ref,610 mg								ref,0.13 mg/kg														ref,"234,615 🐭",0.29 mg/kg														ref
28.,618,"Hydrophis gracilis 							
Slender sea snake",☠☠☠☠,122.0 cm							ref,,,,0.13 mg/kg														ref,,0.48 mg/kg														ref
29.,217,"Bothrops jararacussu 							
Jararacussu",☠☠☠☠,220.0 cm							ref,,,1000 mg								ref,0.14 mg/kg														ref,"357,143 🐭",4.92 mg/kg														ref
30.,575,"Hydrophis major 							
Olive headed sea snake",☠☠☠☠,156.0 cm							ref,258.0 gr							ref,3.80 														 mm							ref,,0.143 mg/kg														ref,,0.194 mg/kg														ref
31.,507,"Aipysurus laevis 							
Olive brown sea snake",☠☠☠☠,230.0 cm							ref,3000.0 gr							ref,5 														 mm							ref,71 mg								ref,0.15 mg/kg														ref,"23,667 🐭",0.069 mg/kg														ref
32.,760,"Oxyuranus scutellatus 							
Coastal taipan",☠☠☠☠,366.0 cm							ref,6500.0 gr							ref,12.10 														 mm							ref,882 mg								ref,0.155 mg/kg														ref,"284,516 🐭",0.05 mg/kg														ref
33.,636,"Laticauda laticaudata 							
Blue lipped sea krait",☠☠☠☠,136.0 cm							ref,165.0 gr							ref,,,0.16 mg/kg														ref,,0.179 mg/kg														ref
34.,576,"Hydrophis stokesii 							
Large headed Sea Snake",☠☠☠☠,200.0 cm							ref,,7 														 mm							ref,150 mg								ref,0.164 mg/kg														ref,"45,732 🐭",0.26 mg/kg														ref
35.,729,"Naja annulata 							
Ringed water cobra",☠☠☠☠,270.0 cm							ref,,,,0.167 mg/kg														ref,,
36.,522,"Bungarus fasciatus 							
Banded krait",☠☠☠☠,225.0 cm							ref,,,114 mg								ref,0.17 mg/kg														ref,"33,529 🐭",3.58 mg/kg														ref
37.,427,"Daboia siamensis 							
Eastern Russell's Viper",☠☠☠☠,150.0 cm							ref,,,268 mg								ref,0.178 mg/kg														ref,"75,281 🐭",1.37 mg/kg														ref
38.,449,"Montivipera raddei 							
Armenian mountain viper",☠☠☠,110.0 cm							ref,317.3 gr							ref,,,0.1935 mg/kg														ref,,
39.,677,"Micrurus fulvius 							
Eastern coral snake",☠☠☠☠,129.5 cm							ref,,2.70 														 mm							ref,5 mg								ref,0.2 mg/kg														ref,"1,250 🐭",1.3 mg/kg														ref
40.,692,"Micrurus mosquitensis 							
Costa Rican coral snake",☠☠☠☠,75.0 cm							ref,,,,0.2 mg/kg														ref,,
41.,425,"Daboia palaestinae 							
Palestine viper",☠☠☠☠,180.0 cm							ref,437.5 gr							ref,,,0.2 mg/kg														ref,,2.333 mg/kg														ref
42.,779,"Laticauda semifasciata 							
Black banded sea krait",☠☠☠☠,200.0 cm							ref,641.0 gr							ref,,14 mg								ref,0.211 mg/kg														ref,"3,318 🐭",0.2 mg/kg														ref
43.,448,"Montivipera latifii 							
Latifi's viper",☠☠☠,78.0 cm							ref,104.0 gr							ref,,,0.224 mg/kg														ref,,4.61 mg/kg														ref
44.,451,"Montivipera xanthina 							
Ottoman viper",☠☠☠,150.0 cm							ref,351.3 gr							ref,,18 mg								ref,0.228 mg/kg														ref,"3,947 🐭",
45.,768,"Pseudechis australis 							
Mulga snake",☠☠☠☠,330.0 cm							ref,6000.0 gr							ref,6.50 														 mm							ref,1500 mg								ref,0.23 mg/kg														ref,"326,087 🐭",1.91 mg/kg														ref
46.,650,"Micrurus alleni 							
Allen's coral snake",☠☠☠☠,130.0 cm							ref,,,,0.23 mg/kg														ref,,
47.,2289,"Thelotornis kirtlandii 							
Northern twig snake",☠☠☠☠,170.0 cm							ref,69.0 gr							ref,,,0.25 mg/kg														ref,,
48.,430,"Echis coloratus 							
Painted saw scaled viper",☠☠☠☠,90.0 cm							ref,,,,0.25 mg/kg														ref,,5.167 mg/kg														ref
49.,422,"Cerastes cerastes 							
Horned viper",☠☠☠,90.0 cm							ref,,5 														 mm							ref,,0.25 mg/kg														ref,,0.475 mg/kg														ref
50.,623,"Hydrophis nigrocinctus 							
Black banded sea snake",☠☠☠☠,108.0 cm							ref,,,,0.256 mg/kg														ref,,0.344 mg/kg														ref
51.,733,"Naja atra 							
Chinese cobra",☠☠☠☠,200.0 cm							ref,1925.8 gr							ref,,200 mg								ref,0.264 mg/kg														ref,"37,879 🐭",0.28 mg/kg														ref
52.,570,"Dendroaspis polylepis 							
Black mamba",☠☠☠☠,430.0 cm							ref,1600.0 gr							ref,7.90 														 mm							ref,400 mg								ref,0.264 mg/kg														ref,"75,758 🐭",0.055 mg/kg														ref
53.,3281,"Rhabdophis tigrinus 							
Tiger keelback",☠☠☠,130.0 cm							ref,189.3 gr							ref,2.30 														 mm							ref,20.5 mg								ref,0.265 mg/kg														ref,"3,868 🐭",9.2 mg/kg														ref
54.,747,"Naja oxiana 							
Caspian cobra",☠☠☠☠,190.0 cm							ref,,5.62 														 mm							ref,590 mg								ref,0.272 mg/kg														ref,"108,456 🐭",0.45 mg/kg														ref
55.,639,"Hydrophis cyanocinctus 							
Annulated sea snake",☠☠☠☠,275.0 cm							ref,,,80 mg								ref,0.275 mg/kg														ref,"14,545 🐭",0.465 mg/kg														ref
56.,735,"Naja haje 							
Egyptian cobra",☠☠☠☠,300.0 cm							ref,,10 														 mm							ref,300 mg								ref,0.287 mg/kg														ref,"52,265 🐭",4 mg/kg														ref
57.,442,"Daboia mauritanica 							
Moorish viper",☠☠☠☠,180.0 cm							ref,855.0 gr							ref,,,0.2985 mg/kg														ref,,
58.,698,"Micrurus nigrocinctus 							
Central American coral snake",☠☠☠☠,115.0 cm							ref,,,8 mg								ref,0.3 mg/kg														ref,"1,333 🐭",1.7 mg/kg														ref
59.,631,"Hydrophis hardwickii 							
Spine bellied sea snake",☠☠☠☠,100.0 cm							ref,330.0 gr							ref,,,0.303 mg/kg														ref,,0.541 mg/kg														ref
60.,276,"Gloydius halys 							
Siberian pit viper",☠☠☠,90.0 cm							ref,,,,0.304 mg/kg														ref,,4 mg/kg														ref
61.,523,"Bungarus flaviceps 							
Red headed krait",☠☠☠☠,195.5 cm							ref,90.3 gr							ref,,50 mg								ref,0.32 mg/kg														ref,"7,813 🐭",
62.,767,"Hydrophis viperinus 							
Viperine sea snake",☠☠☠☠,100.0 cm							ref,,,,0.35 mg/kg														ref,,
63.,457,"Vipera ammodytes 							
European nose horned viper",☠☠☠,100.0 cm							ref,210.9 gr							ref,13 														 mm							ref,,0.35 mg/kg														ref,,2 mg/kg														ref
64.,330,"Trimeresurus albolabris 							
White lipped pit viper",☠☠☠,100.0 cm							ref,,,15 mg								ref,0.37 mg/kg														ref,"2,027 🐭",12.75 mg/kg														ref
65.,745,"Naja nivea 							
Cape cobra",☠☠☠☠,185.0 cm							ref,,6 														 mm							ref,150 mg								ref,0.371 mg/kg														ref,"20,216 🐭",0.4 mg/kg														ref
66.,272,"Deinagkistrodon acutus 							
Chinese sharp nosed pit viper",☠☠☠☠,160.0 cm							ref,1155.0 gr							ref,,214 mg								ref,0.38 mg/kg														ref,"28,158 🐭",9.2 mg/kg														ref
67.,369,"Trimeresurus sumatranus 							
Sumatran pit viper",☠☠☠,160.0 cm							ref,,10 														 mm							ref,,0.38 mg/kg														ref,,
68.,568,"Dendroaspis angusticeps 							
Eastern green mamba",☠☠☠☠,250.0 cm							ref,282.4 gr							ref,7.70 														 mm							ref,60 mg								ref,0.381 mg/kg														ref,"7,874 🐭",3.32 mg/kg														ref
69.,399,"Bitis arietans 							
Puff adder",☠☠☠☠,190.5 cm							ref,6000.0 gr							ref,30 														 mm							ref,750 mg								ref,0.389 mg/kg														ref,"96,401 🐭",0.6 mg/kg														ref
70.,223,"Bothrops moojeni 							
Brazilian lancehead",☠☠☠☠,230.0 cm							ref,217.0 gr							ref,,,0.39 mg/kg														ref,,
71.,755,"Naja sumatrana 							
Sumatran spitting cobra",☠☠☠☠,160.0 cm							ref,,,,0.4 mg/kg														ref,,
72.,460,"Vipera berus 							
Common European adder",☠☠☠,90.0 cm							ref,,4 														 mm							ref,18 mg								ref,0.41 mg/kg														ref,"2,195 🐭",1 mg/kg														ref
73.,403,"Bitis cornuta 							
Western many horned adder",☠☠☠,60.0 cm							ref,32.6 gr							ref,,,0.444 mg/kg														ref,,
74.,423,"Cerastes gasperettii 							
Arabian horned viper",☠☠☠,85.0 cm							ref,,,,0.481 mg/kg														ref,,
75.,474,"Vipera seoanei 							
Baskian viper",☠☠☠,75.0 cm							ref,90.0 gr							ref,,,0.485 mg/kg														ref,,
76.,748,"Naja pallida 							
Red spitting cobra",☠☠☠☠,153.5 cm							ref,,4.90 														 mm							ref,260 mg								ref,0.49 mg/kg														ref,"26,531 🐭",
77.,424,"Cerastes vipera 							
Sahara sand viper",☠☠☠,50.0 cm							ref,,,43 mg								ref,0.5 mg/kg														ref,"4,300 🐭",
78.,361,"Trimeresurus purpureomaculatus 							
Mangrove pit viper",☠☠☠,107.0 cm							ref,,,,0.5 mg/kg														ref,,
79.,166,"Azemiops feae 							
Fea's viper",☠☠☠,100.0 cm							ref,,,1.75 mg								ref,0.52 mg/kg														ref,168 🐭,
80.,746,"Naja nubiae 							
Nubian spitting cobra",☠☠☠☠,148.0 cm							ref,,,,0.53 mg/kg														ref,,
81.,404,"Bitis gabonica 							
Central African gaboon viper",☠☠☠☠,200.0 cm							ref,11300.0 gr							ref,55 														 mm							ref,2400 mg								ref,0.55 mg/kg														ref,"218,182 🐭",5 mg/kg														ref
82.,441,"Macrovipera lebetina 							
Levantine viper",☠☠☠☠,210.0 cm							ref,,,150 mg								ref,0.568 mg/kg														ref,"13,204 🐭",2.72 mg/kg														ref
83.,754,"Naja sputatrix 							
Javan spitting cobra",☠☠☠☠,185.0 cm							ref,,,,0.59 mg/kg														ref,,
84.,454,"Pseudocerastes persicus 							
Persian horned viper",☠☠☠,90.0 cm							ref,215.3 gr							ref,,,0.604 mg/kg														ref,,
85.,205,"Bothrops neuwiedi 							
Neuwied's lancehead",☠☠☠☠,120.0 cm							ref,43.0 gr							ref,,,0.605 mg/kg														ref,,8.42 mg/kg														ref
86.,446,"Montivipera bornmuelleri 							
Lebanon viper",☠☠☠,75.0 cm							ref,193.0 gr							ref,,,0.605 mg/kg														ref,,6.25 mg/kg														ref
87.,466,"Vipera lotievi 							
Caucasian meadow viper",☠☠☠,62.0 cm							ref,,,,0.6075 mg/kg														ref,,
88.,396,"Atheris squamigera 							
African Bush Viper",☠☠☠,80.0 cm							ref,44.5 gr							ref,,,0.611 mg/kg														ref,,
89.,382,"Tropidolaemus wagleri 							
Wagler's pit viper",☠☠☠,130.0 cm							ref,,,90 mg								ref,0.625 mg/kg														ref,"7,200 🐭",4.625 mg/kg														ref
90.,725,"Micrurus tener 							
Texas coral snake",☠☠☠☠,121.0 cm							ref,33.8 gr							ref,,,0.64 mg/kg														ref,,4.4 mg/kg														ref
91.,571,"Dendroaspis viridis 							
Western green mamba",☠☠☠☠,250.0 cm							ref,,6.70 														 mm							ref,100 mg								ref,0.667 mg/kg														ref,"7,496 🐭",0.79 mg/kg														ref
92.,592,"Elapsoidea sundevallii 							
Sundevall's African garter snake",☠☠,140.0 cm							ref,,,,0.722 mg/kg														ref,,
93.,510,"Aspidelaps scutatus 							
Shield nose snake",☠☠☠,75.0 cm							ref,75.7 gr							ref,,,0.722 mg/kg														ref,,
94.,322,"Bothrops alternatus 							
Urutú",☠☠☠☠,200.0 cm							ref,229.6 gr							ref,,100 mg								ref,0.75 mg/kg														ref,"6,667 🐭",12.85 mg/kg														ref
95.,676,"Micrurus frontalis 							
Southern coral snake",☠☠☠☠,141.0 cm							ref,80.0 gr							ref,,30 mg								ref,0.75 mg/kg														ref,"2,000 🐭",2.04 mg/kg														ref
96.,465,"Vipera latastei 							
Lataste's viper",☠☠☠,75.0 cm							ref,87.0 gr							ref,,26 mg								ref,0.755 mg/kg														ref,"1,722 🐭",
97.,458,"Vipera aspis 							
Aspic viper",☠☠☠,90.0 cm							ref,85.2 gr							ref,,10 mg								ref,0.78 mg/kg														ref,641 🐭,1 mg/kg														ref
98.,167,"Agkistrodon bilineatus 							
Mexican cantil",☠☠☠☠,138.0 cm							ref,51.1 gr							ref,12 														 mm							ref,688 mg								ref,0.8 mg/kg														ref,"43,000 🐭",19.2 mg/kg														ref
99.,367,"Trimeresurus stejnegeri 							
Chinese green tree viper",☠☠☠,112.0 cm							ref,175.5 gr							ref,,,0.8 mg/kg														ref,,
100.,436,"Echis ocellatus 							
West African carpet viper",☠☠☠☠,65.0 cm							ref,,,24.8 mg								ref,0.804 mg/kg														ref,"1,542 🐭",
101.,202,"Bothrops jararaca 							
Jararaca",☠☠☠☠,240.0 cm							ref,414.0 gr							ref,,70 mg								ref,0.835 mg/kg														ref,"4,192 🐭",4.32 mg/kg														ref
102.,438,"Echis pyramidum 							
Egyptian saw scaled viper",☠☠☠,85.0 cm							ref,76.6 gr							ref,,,0.84 mg/kg														ref,,
103.,569,"Dendroaspis jamesoni 							
Jameson's mamba",☠☠☠☠,255.0 cm							ref,,8 														 mm							ref,120 mg								ref,0.84 mg/kg														ref,"7,143 🐭",1.02 mg/kg														ref
104.,291,"Lachesis muta 							
Atlantic bushmaster",☠☠☠☠,360.0 cm							ref,5000.0 gr							ref,35 														 mm							ref,411 mg								ref,0.9 mg/kg														ref,"22,833 🐭",6 mg/kg														ref
105.,286,"Hypnale hypnale 							
Hump nosed pit viper",☠☠☠☠,60.0 cm							ref,,,20 mg								ref,0.9 mg/kg														ref,"1,111 🐭",
106.,219,"Bothrops leucurus 							
Whitetail lancehead",☠☠☠☠,195.0 cm							ref,,,,0.915 mg/kg														ref,,
107.,239,"Crotalus atrox 							
Western diamondback rattlesnake",☠☠☠☠,230.0 cm							ref,1000.0 gr							ref,16 														 mm							ref,1145 mg								ref,0.92 mg/kg														ref,"62,228 🐭",7.8 mg/kg														ref
108.,256,"Crotalus pricei 							
Western twin spotted rattlesnake",☠☠☠,66.0 cm							ref,62.6 gr							ref,,8 mg								ref,0.95 mg/kg														ref,421 🐭,11.39 mg/kg														ref
109.,270,"Crotalus viridis 							
Prairie rattlesnake",☠☠☠☠,160.0 cm							ref,415.0 gr							ref,8.40 														 mm							ref,390 mg								ref,1.01 mg/kg														ref,"19,307 🐭",5.5 mg/kg														ref
110.,407,"Bitis nasicornis 							
Rhinoceros viper",☠☠☠☠,150.0 cm							ref,,15 														 mm							ref,353 mg								ref,1.056 mg/kg														ref,"16,714 🐭",
111.,672,"Micrurus dumerilii 							
Dumeril's coral snake",☠☠☠☠,94.8 cm							ref,,,,1.075 mg/kg														ref,,
112.,402,"Bitis caudalis 							
Horned puff adder",☠☠☠,51.5 cm							ref,24.1 gr							ref,,85 mg								ref,1.111 mg/kg														ref,"3,825 🐭",
113.,285,"Gloydius ussuriensis 							
Ussuri mamushi",☠☠☠,70.0 cm							ref,,,,1.139 mg/kg														ref,,
114.,605,"Hemachatus haemachatus 							
Rinkhals",☠☠☠☠,150.0 cm							ref,,,120 mg								ref,1.15 mg/kg														ref,"5,217 🐭",1 mg/kg														ref
115.,740,"Naja mossambica 							
Mozambique spitting cobra",☠☠☠☠,154.0 cm							ref,171.3 gr							ref,,656 mg								ref,1.16 mg/kg														ref,"28,276 🐭",
116.,209,"Bothrops asper 							
Terciopelo",☠☠☠☠,305.0 cm							ref,6000.0 gr							ref,25 														 mm							ref,1530 mg								ref,1.175 mg/kg														ref,"65,106 🐭",
117.,274,"Gloydius blomhoffii 							
Mamushi",☠☠☠,91.0 cm							ref,63.7 gr							ref,,7 mg								ref,1.32 mg/kg														ref,265 🐭,18.29 mg/kg														ref
118.,199,"Bothrops diporus 							
Chaco lancehead",☠☠☠☠,110.0 cm							ref,,,,1.33 mg/kg														ref,,
119.,237,"Crotalus adamanteus 							
Eastern Diamondback Rattlesnake",☠☠☠☠,251.0 cm							ref,15400.0 gr							ref,25 														 mm							ref,848 mg								ref,1.333 mg/kg														ref,"31,808 🐭",7.7 mg/kg														ref
120.,210,"Bothrops atrox 							
Common lancehead",☠☠☠☠,162.0 cm							ref,,,200 mg								ref,1.4 mg/kg														ref,"7,143 🐭",22.14 mg/kg														ref
121.,176,"Atropoides picadoi 							
Picado's jumping pit viper",☠☠☠,120.2 cm							ref,,,70 mg								ref,1.419 mg/kg														ref,"2,467 🐭",
122.,737,"Naja katiensis 							
Mali cobra",☠☠☠☠,106.8 cm							ref,,,100 mg								ref,1.42 mg/kg														ref,"3,521 🐭",
123.,359,"Trimeresurus popeiorum 							
Pope's bamboo pit viper",☠☠☠,97.5 cm							ref,,7 														 mm							ref,,1.45 mg/kg														ref,,
124.,350,"Trimeresurus labialis 							
Nicobar bamboo pit viper",☠☠☠,44.0 cm							ref,,,,1.497 mg/kg														ref,,
125.,317,"Protobothrops mucrosquamatus 							
Taiwan habu",☠☠☠☠,150.0 cm							ref,,,,1.5 mg/kg														ref,,8.6 mg/kg														ref
126.,191,"Bothrops taeniatus 							
Speckled forest pit viper",☠☠☠☠,175.0 cm							ref,,,,1.55 mg/kg														ref,,
127.,408,"Bitis parviocula 							
Ethiopian mountain adder",☠☠☠,75.2 cm							ref,,,,1.56 mg/kg														ref,,
128.,183,"Bothriechis schlegelii 							
Eyelash palm pit viper",☠☠☠,90.0 cm							ref,102.0 gr							ref,,20 mg								ref,1.6 mg/kg														ref,625 🐭,
129.,271,"Crotalus willardi 							
Arizona Ridgenose Rattlesnake",☠☠☠☠,80.0 cm							ref,,,,1.61 mg/kg														ref,,
130.,248,"Crotalus horridus 							
Timber rattlesnake",☠☠☠☠,190.0 cm							ref,4500.0 gr							ref,,229 mg								ref,1.644 mg/kg														ref,"6,965 🐭",2.25 mg/kg														ref
131.,344,"Trimeresurus gramineus 							
Bamboo pit viper",☠☠☠,120.0 cm							ref,,7 														 mm							ref,,1.645 mg/kg														ref,,4 mg/kg														ref
